"","logW","E.logW","gap","SE.sim","W","K","Simulation"
"108",11.5333457380394,12.2574614949102,0.724115756870811,0.0102011756970681,"2.05",6,4
"109",11.7135844893398,12.358927808885,0.645343319545274,0.0103295301704246,"2.525",1,4
"110",11.6212556053224,12.3322643974265,0.711008792104113,0.0106808572338714,"2.525",2,4
"111",11.5892482296935,12.3114952809976,0.722247051304013,0.0104495242017585,"2.525",3,4
"112",11.558119683111,12.2923608791156,0.734241196004623,0.0109188636752402,"2.525",4,4
"113",11.5429379258807,12.2742107547014,0.731272828820702,0.0116319103243906,"2.525",5,4
"114",11.5249210324615,12.2569454617821,0.732024429320584,0.0122741716384934,"2.525",6,4
"115",11.7135844893398,12.356625301065,0.643040811725204,0.00955545755126275,"3",1,4
"116",11.607961004853,12.3303023063614,0.722341301508383,0.00983630541052056,"3",2,4
"117",11.5789096791471,12.3096130681789,0.730703389031801,0.00974546417925879,"3",3,4
"118",11.5495173900296,12.2904797488922,0.740962358862641,0.00923563248760717,"3",4,4
"119",11.5315709061291,12.2725625854348,0.740991679305612,0.00932935166760091,"3",5,4
"120",11.5174587480555,12.2542901643216,0.736831416266048,0.00887011766802598,"3",6,4
"121",11.7110823373464,12.3778344380395,0.666752100693094,0.0104598781131538,"1.1",1,5
"122",11.6189219554163,12.3484873707361,0.729565415319785,0.0103679256170694,"1.1",2,5
"123",11.5947326387849,12.3332439783111,0.738511339526177,0.0105435316225076,"1.1",3,5
"124",11.5722183653557,12.3185351848579,0.746316819502225,0.0101295664039651,"1.1",4,5
"125",11.5597435172305,12.3029227778115,0.743179260580998,0.0101570125314493,"1.1",5,5
"126",11.5419725055486,12.2871093215025,0.745136815953853,0.0109266751407537,"1.1",6,5
"127",11.7110823373464,12.3750009995182,0.663918662171721,0.0109589819859153,"1.575",1,5
"128",11.6134367090258,12.3461335440675,0.732696835041724,0.0114699543143863,"1.575",2,5
"129",11.5872039493697,12.3283829854733,0.741179036103588,0.0105750651228908,"1.575",3,5
"130",11.5643151468533,12.311005651097,0.746690504243707,0.0106489062209558,"1.575",4,5
"131",11.5483479078971,12.2938285537919,0.745480645894764,0.0108453059040723,"1.575",5,5
"132",11.5310206441576,12.277501772468,0.746481128310366,0.0118896387484911,"1.575",6,5
"133",11.7110823373464,12.372838464319,0.661756126972534,0.0110541958188823,"2.05",1,5
"134",11.6134367090258,12.3438483690823,0.73041166005658,0.0117951446949473,"2.05",2,5
"135",11.5878060343916,12.3243030869429,0.736497052551311,0.0115696235077527,"2.05",3,5
"136",11.5649311675132,12.3059120865208,0.740980919007642,0.0119596375767235,"2.05",4,5
"137",11.5438204090083,12.2885232970865,0.744702888078159,0.0128204139581535,"2.05",5,5
"138",11.5288511116218,12.2724846675884,0.743633555966529,0.0132839447773725,"2.05",6,5
"139",11.7110823373464,12.3754813856795,0.664399048333046,0.00828751913703955,"2.525",1,5
"140",11.6097714699794,12.3463296350835,0.736558165104018,0.00867315295534892,"2.525",2,5
"141",11.5785782655877,12.3258400258079,0.747261760220178,0.00873594194034818,"2.525",3,5
"142",11.556282131425,12.3061958920011,0.749913760576149,0.0091536247977472,"2.525",4,5
"143",11.5384805183606,12.2881262737301,0.749645755369416,0.00986592202936973,"2.525",5,5
"144",11.5212957275388,12.2709609136873,0.749665186148476,0.00995181385789849,"2.525",6,5
"145",11.7110823373464,12.3768506644332,0.665768327086791,0.00982922640261121,"3",1,5
"146",11.6097714699794,12.3479341468435,0.738162676864009,0.00987811275330491,"3",2,5
"147",11.5800727628455,12.3265054351783,0.746432672332826,0.0101597156788616,"3",3,5
"148",11.5573920519881,12.3070590170354,0.749666965047368,0.0104776562918111,"3",4,5
"149",11.5359806204624,12.289645808204,0.753665187741582,0.0105368994058164,"3",5,5
"150",11.5202782472452,12.2723534193189,0.752075172073621,0.0108657982508459,"3",6,5
"151",11.7069813915244,12.3659249336114,0.658943542087044,0.0100558748067941,"1.1",1,6
"152",11.6209064398637,12.3380388055885,0.717132365724739,0.0107811034021289,"1.1",2,6
"153",11.6041246411269,12.3232048958003,0.719080254673386,0.0108420616326877,"1.1",3,6
"154",11.5841099220805,12.3083926636652,0.724282741584686,0.0110096458305323,"1.1",4,6
"155",11.5598149886032,12.2912599816969,0.731444993093767,0.0114173187339155,"1.1",5,6
"156",11.5471586029403,12.2743981258092,0.727239522868887,0.011818906511634,"1.1",6,6
"157",11.7069813915244,12.3628316699842,0.655850278459848,0.01097189609672,"1.575",1,6
"158",11.6146721348145,12.3354345433177,0.720762408503289,0.011336509794312,"1.575",2,6
"159",11.5909668859018,12.3154849414712,0.72451805556936,0.0119805929360864,"1.575",3,6
"160",11.5799463193271,12.2967632502205,0.716816930893341,0.0119061070436371,"1.575",4,6
"161",11.5577012345108,12.2806928003108,0.722991565799955,0.0122711429810995,"1.575",5,6
"162",11.5309829643033,12.264916748073,0.733933783769706,0.0122605179860465,"1.575",6,6
"163",11.7069813915244,12.3622392787664,0.655257887242024,0.00984985781878933,"2.05",1,6
"164",11.6095161994638,12.3346642060543,0.725148006590526,0.0096367235856327,"2.05",2,6
"165",11.5725306517453,12.3137872460015,0.741256594256226,0.00889531603863863,"2.05",3,6
"166",11.5570473086126,12.2939356895223,0.736888380909704,0.00925986572049991,"2.05",4,6
"167",11.5399086142162,12.2773186227186,0.737410008502458,0.00954504511907785,"2.05",5,6
"168",11.5249495795347,12.260469321819,0.735519742284282,0.00943603206502288,"2.05",6,6
"169",11.7069813915244,12.3619119349503,0.654930543425898,0.0100180544666181,"2.525",1,6
